Day,Mean
1,1.5069
2,1.5358
3,2.2299
4,3.2958
5,5.3279
6,7.96
7,12.242
8,17.9566
9,26.0483
10,36.6672
11,49.7713
12,63.8781
13,76.489
14,85.2457
15,87.8899
16,84.159
17,74.9068
18,63.0161
19,50.104
20,38.3018
21,28.5261
22,20.7211
23,14.7361
24,10.4381
25,7.1717
26,4.9779
27,3.4312
28,2.3591
29,1.5923
30,1.0921
31,0.7329
32,0.4973
33,0.345
34,0.2316
35,0.1587
36,0.1032
37,0.0728
38,0.0466
39,0.0342
40,0.0227
41,0.0128
42,0.01
43,0.0082
44,0.005
45,0.0025
46,0.0023
47,0.0017
48,0.0011
49,0.0006
50,0.0006
51,0.0002
52,0.0004
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
