Day,Mean
1,1.469
2,1.458
3,2.271
4,3.212
5,5.229
6,0.0
7,0.0
8,14.777
9,14.058
10,16.943
11,24.897
12,0.0
13,55.472
14,0.0
15,73.151
16,65.516
17,72.582
18,0.0
19,101.77
20,81.864
21,0.0
22,74.516
23,58.251
24,0.0
25,44.576
26,33.203
27,24.211
28,0.0
29,17.061
30,0.0
31,10.666
32,6.997
33,5.069
34,3.316
35,0.0
36,0.0
37,2.045
38,1.325
39,0.875
40,0.514
41,0.399
42,0.0
43,0.299
44,0.229
45,0.178
46,0.092
47,0.085
48,0.0
49,0.0
50,0.036
51,0.037
52,0.018
53,0.012
54,0.0
55,0.008
56,0.0
57,0.002
58,0.003
59,0.004
60,0.0
