,Day,Mean
0,1,1.375
1,2,1.4375
2,3,2.75
3,4,2.0
4,5,3.5625
5,6,0.0
6,7,0.0
7,8,12.375
8,9,11.1875
9,10,12.8125
10,11,20.6875
11,12,0.0
12,13,47.375
13,14,0.0
14,15,66.9375
15,16,56.8125
16,17,71.125
17,18,0.0
18,19,99.0
19,20,83.9375
20,21,0.0
21,22,83.125
22,23,63.3125
23,24,0.0
24,25,54.75
25,26,41.0625
26,27,30.625
27,28,0.0
28,29,22.5625
29,30,0.0
30,31,12.5
31,32,8.75
32,33,6.25
33,34,3.9375
34,35,0.0
35,36,0.0
36,37,2.5625
37,38,0.875
38,39,0.75
39,40,0.6875
40,41,0.3125
41,42,0.0
42,43,0.125
43,44,0.25
44,45,0.0625
45,46,0.0625
46,47,0.0625
47,48,0.0
48,49,0.0
49,50,0.0625
50,51,0.0
51,52,0.0
52,53,0.0
53,54,0.0
54,55,0.0
55,56,0.0
56,57,0.0
57,58,0.0
58,59,0.0
59,60,0.0
